"Y","Bga2A","Bga2B","Bga2C","Bga2E","Bga2F","LacL","LacM","LacS","LacR","Bga2D","GosT","BgaR2","Bga42B","Bga42C","Bga42D","Bga35","GalA","GosA","GosB","GosC","GosA2","GosB2","GosC2","GosR","GosR2","Bga42A","GosF","GosG","GosH","GosX","LctT","BgaR","BgaR3","Bll3HypBA1","BlArafA","BlArafE","Bl13Gal","Bl16Gal","Gaf39","Gaf36","GafA","GafB","GafC","GafR","Aaf39","Aaf36","AafA","AafB","AafC","AafR"
0,"1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0","1","1","1","0","0","0","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","1","1","0","0","1","1","0","0","0","1","0","0","1","0","1","1","1","0","0","0","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","0","0","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","0","0","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
1,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","1","0","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
